"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID"
"GO:0021537","telencephalon development","106/3634","275/18888",5.59140447571856e-14,3.17642605170593e-11,2.55278380417734e-11,106,"POU3F2/CXCR4/ATP2B4/NTRK2/IGF2BP1/ATP1B2/SRGAP2C/CDK6/FEZF2/SLC38A2/ZDHHC16/LMX1A/POU3F3/CCDC85C/SEMA6B/ATF5/EOMES/NR2E1/GLI3/KIRREL3/SIX3/RFX4/FGF8/CDON/FLNA/KCNC1/RTN4/SLIT2/LAMB1/EGFR/ASPM/DIXDC1/SLC7A11/FEZF1/PLCB1/DCLK2/UNCX/ATP1A2/LEF1/ROBO1/FXR1/TBR1/EPHB2/NEUROD1/GART/NEFL/BAX/DAB2IP/RARB/EMX2/NIN/SUN1/KIF14/SKI/LPAR1/SUN2/FGF13/ZIC1/LHX5/ERBB4/TMEM108/DMRTA2/ADGRG1/SALL1/ARX/LHX2/BTG2/ATAT1/PLXNA4/RELN/EZH2/UBA6/HDAC1/SEMA3A/ID2/ZMIZ1/LHX1/TUBB2A/MFSD2A/BTBD3/KAT2A/RTN4R/ID4/BMERB1/FUT10/PTPRS/NARS1/CRK/ZSWIM6/PSEN1/KIF26A/MDGA1/DRD2/RTN4RL1/BBS4/UQCRQ/RAN/LRP8/ANXA3/AKIRIN2/ATIC/TRA2B/NDE1/MDK/FEZ1/LARGE1"
"GO:0030490","maturation of SSU-rRNA","35/3634","54/18888",2.89467348518462e-13,1.50740121740989e-10,1.21144624542244e-10,35,"RRS1/UTP4/DCAF13/WDR46/RPS14/NOP14/UTP25/RRP36/UTP20/WDR43/DHX37/TSR1/NAT10/IMP3/NOL10/BMS1/BYSL/NOL7/RPS8/RPS16/IMP4/NOL11/RPS19/RPP40/RPS21/MPHOSPH10/FCF1/RPS28/HEATR1/RIOK3/NOP9/WDR3/GTF2H5/UTP3/RIOK1"
"GO:0140694","non-membrane-bounded organelle assembly","141/3634","413/18888",3.67431981757231e-13,1.76621727230841e-10,1.41944776110425e-10,141,"RRS1/DCAF13/UHRF1/RPF2/RTTN/NOP2/BOP1/HAUS4/RPS14/CENPA/SQLE/WDR1/KPNB1/BCCIP/GSN/RACGAP1/KNTC1/PSPC1/DHX37/NEK7/NUMA1/STARD9/RPS3/CEP44/RCC1/TMOD2/MSN/ASB2/MAPRE2/KIF23/FLNA/UBAP2L/CENPH/PRICKLE1/INCENP/RPLP0/TPX2/NEK2/HNRNPU/CIRBP/INO80/CEP97/RPL5/DLGAP5/AURKA/CENPC/ABRAXAS1/STAG1/ACTG1/RPSA/EIF5B/PLK1/ASPM/SIX4/CNOT6L/RPS27L/FSCN1/PPAN/EIF5/CCNB2/EML3/FXR1/KIFC1/CFLAR/PLK2/NIP7/GRB7/AURKB/FASTKD2/DIAPH3/TIA1/CHMP4A/RPL10/CLASP2/CEP192/CHMP3/KIF3B/ANLN/DRG1/EIF6/RPS19/DDX28/PAN3/MRPL20/SMAD4/DHX29/NOP53/DBNL/KIF11/RPS5/FBXO5/NOA1/CHMP1B/EIF2S1/SMC1A/HSPA1B/PRC1/CDS2/YTHDF1/PAN2/C1QBP/RPS28/LDAF1/DDX3X/E2F4/STIL/CHEK2/PLS1/CNOT7/CLASP1/CAPRIN1/CENPX/RPS23/LIMD1/RRP7A/TNKS/NDC80/KAT2A/SPAG5/MRM2/MYH11/KIF4A/BIRC5/TUBGCP6/CEP152/POC1B/MYL9/CHMP4B/CHMP4C/PLEC/KIAA0753/PUM2/CDCA8/EDN1/NGRN/ITGB1/RNF213/TNNT1/CNTROB/SUGT1/NPM1"
"GO:0042273","ribosomal large subunit biogenesis","42/3634","74/18888",8.83059795423934e-13,3.9416004725744e-10,3.16772803305834e-10,42,"RRS1/EBNA1BP2/NIFK/RPF2/NOP2/BOP1/PAK1IP1/SDAD1/GTF3A/NOP16/DDX18/PES1/MRTO4/GTPBP4/SURF6/RPL10A/RPLP0/RPL5/NOL9/RSL1D1/PPAN/RRP15/NIP7/RPL7A/FASTKD2/FTSJ3/RPL10/EIF6/ZNHIT6/DDX28/HEATR3/MRPL20/NOP53/NOC2L/RPL26/MAK16/ZNF622/MRM2/WDR12/NVL/RPL35A/NPM1"
"GO:0000819","sister chromatid segregation","90/3634","229/18888",1.2243280912681e-12,5.10055082822291e-10,4.0991363673264e-10,90,"RRS1/UHRF1/NCAPD2/KIF2C/CDK1/KPNB1/BCCIP/ACTB/TOP2A/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/PHF10/NUF2/KIF23/FLNA/PRICKLE1/INCENP/TPX2/NEK2/KIF18A/HNRNPU/INO80/ARID2/CEP97/DLGAP5/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/BUB1/RMI2/NCAPG/TTK/KNSTRN/BAZ1B/EML3/CDC16/ZW10/SMC4/KIFC1/RAD21/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/PSRC1/KIF14/KNL1/KIF11/FBXO5/BUB3/CHMP1B/SMC1A/HSPA1B/SKA2/PRC1/SMARCE1/CHEK2/CLASP1/ANAPC15/TOP2B/NDC80/CHAMP1/TUBG2/NCAPG2/SPAG5/KIF4A/KIF25/BIRC5/NCAPD3/CHMP4B/CHMP4C/CDT1/RAN/CDCA8/MAD2L2/SPC25"
"GO:0021543","pallium development","79/3634","191/18888",1.31503761302798e-12,5.13604377738242e-10,4.12766082352402e-10,79,"POU3F2/ATP2B4/NTRK2/IGF2BP1/SRGAP2C/CDK6/FEZF2/SLC38A2/LMX1A/POU3F3/CCDC85C/SEMA6B/EOMES/NR2E1/GLI3/KIRREL3/FGF8/CDON/FLNA/RTN4/SLIT2/LAMB1/EGFR/ASPM/DIXDC1/PLCB1/DCLK2/LEF1/ROBO1/FXR1/TBR1/NEUROD1/GART/NEFL/BAX/DAB2IP/EMX2/SUN1/KIF14/SUN2/FGF13/ZIC1/LHX5/TMEM108/DMRTA2/ADGRG1/ARX/LHX2/BTG2/ATAT1/RELN/EZH2/UBA6/HDAC1/ZMIZ1/TUBB2A/MFSD2A/BTBD3/ID4/BMERB1/FUT10/PTPRS/NARS1/CRK/PSEN1/KIF26A/MDGA1/BBS4/UQCRQ/RAN/LRP8/ANXA3/AKIRIN2/ATIC/TRA2B/NDE1/MDK/FEZ1/LARGE1"
"GO:0043484","regulation of RNA splicing","77/3634","186/18888",2.39017967218724e-12,8.78601927735179e-10,7.06101994799091e-10,77,"SRSF1/RBM3/RRP1B/SRSF2/RPS26/NCL/WDR77/RBFOX2/FUS/SRSF6/HNRNPH1/ZNF326/SLC38A2/DDX5/NCBP1/SRSF7/PRPF19/AHNAK/RBM8A/ENY2/PRMT5/NOVA2/HNRNPU/CIRBP/ILDR2/PIK3R1/FAM50A/SRSF9/RBM12B/SETX/U2AF2/HNRNPA2B1/SF1/HNRNPK/CELF2/PTBP2/SRSF3/TAF5L/HNRNPF/NSRP1/RBM5/TIA1/HNRNPH2/RBM4/PUF60/ZNF638/RBPMS2/ESRP1/AFF2/TAF9/CELF3/SF3B4/RBPMS/CLK3/RBM15B/SRPK1/C1QBP/RBFOX1/RBM39/RBMXL1/CLK2/KAT2A/DYRK1A/MBNL1/RBM22/METTL16/PTBP3/SRSF4/MBNL2/ATXN7L3/QKI/RBM15/RPS13/TRA2B/METTL4/NPM1/DDX17"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","70/3634","164/18888",4.22121520786462e-12,1.465465212997e-09,1.17774372846328e-09,70,"UHRF1/CENPA/CDK1/KPNB1/BCCIP/NUDC/RACGAP1/NUSAP1/EML1/NUMA1/RCC1/NUF2/KIF23/FLNA/CENPH/PRICKLE1/INCENP/TPX2/NEK2/HNRNPU/CEP97/DLGAP5/AURKA/CKAP5/MAD2L1/ABRAXAS1/STAG1/PLK1/TTK/UBXN2B/EML3/ZW10/KIFC1/PLK2/AURKB/CHMP4A/SPRY2/CLASP2/CEP192/CHMP3/KIF3B/DRG1/PSRC1/STMN1/SUN2/KIF11/CEP126/CHMP1B/SMC1A/HSPA1B/MAP4/PRC1/DCTN1/STIL/CHEK2/CLASP1/TNKS/NDC80/TUBG2/FGF10/KIF4A/BIRC5/SPRY1/CHMP4B/CHMP4C/RAN/CDCA8/ITGB1/NDE1/SPC25"
"GO:0007052","mitotic spindle organization","59/3634","131/18888",1.39618922841615e-11,4.41686809545209e-09,3.5496841908856e-09,59,"UHRF1/KPNB1/BCCIP/NUDC/RACGAP1/EML1/NUMA1/RCC1/NUF2/KIF23/FLNA/CENPH/PRICKLE1/INCENP/TPX2/NEK2/HNRNPU/CEP97/DLGAP5/AURKA/CKAP5/ABRAXAS1/STAG1/PLK1/TTK/EML3/KIFC1/PLK2/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/PSRC1/STMN1/SUN2/KIF11/CEP126/CHMP1B/SMC1A/HSPA1B/MAP4/PRC1/DCTN1/STIL/CHEK2/CLASP1/TNKS/NDC80/TUBG2/KIF4A/BIRC5/CHMP4B/CHMP4C/RAN/CDCA8/SPC25"
"GO:0010639","negative regulation of organelle organization","124/3634","365/18888",1.41362397037993e-11,4.41686809545209e-09,3.5496841908856e-09,124,"PIF1/ADD3/NAV3/MYADM/MAP1B/TIGAR/SLC25A6/GSN/TOP2A/SPC24/KNTC1/S1PR1/F11R/NAT10/ARHGEF2/TMOD2/NUF2/TOM1L1/INCENP/TPX2/LIMA1/PLEKHH2/TRIAP1/BCL2L1/HNRNPU/SLIT2/KANK1/ARHGAP28/CLU/PIK3R1/CEP97/MAD2L1/SSH3/PLK1/WASF2/BUB1/CKAP2/CLIP3/NME6/TTK/GNL3L/BAZ1B/CTNNA2/MAK/MPHOSPH9/MID1/SLC25A5/STMN2/TFRC/RPS6KA2/ZW10/RAD21/PINX1/PHLDB2/AURKB/MPV17L/DIAPH3/SHANK1/FKBP4/CLASP2/FNIP1/STMN1/SLC35F6/TNKS2/KNL1/CAPG/LPAR1/SMAD4/FGF13/ARAP1/WDR44/FBXO5/BUB3/SEC22B/MAP4/MARCHF7/PRELID1/SPTBN2/STN1/XRN1/PRRT2/TTBK2/SMCR8/MET/DLC1/NAA10/SNCA/CCNF/CORO1A/WASHC2C/CLASP1/SPTBN1/YAP1/RTEL1/ANAPC15/TNKS/NDC80/KAT2A/FBXO43/BMERB1/EVI5L/DYRK1A/TSPO/CAPZA1/RAD50/NBN/BIRC5/CARMIL2/ARPIN/SPTAN1/BBS4/TMSB15A/CDCA8/EML2/ACAA2/PINK1/NUBP1/CAPZB/PPIF/MAD2L2/SPC25/FZD9/FEZ1/NPM1"
